DataField,Flag,Usage,LITHIC,QRAILS,GPS,GALILEO,GALILEO-MESH,GALILEO-POME,GALILEO-FLEX,GALILEO-STANDARD-BULK,HIGHNOTE,QOLO,MARQETA,DC_BANK
#YOUR CUSTOM DATA GIVE FLAG RECEIVED AND INFORMATION WHAT COLUMN,,,,,,,,,,,,,,NA
#PREDEFINED DATA DO NOT CHANGE DATAFIELD NAME,,,,,,,,,,,,NA,,NA
ExternalCardID,Received,Mail-MAILMERGE,Col_38,Col_38,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ExternalCHID,Received,Mail-MAILMERGE,Col_39,Col_39,NA,NA,NA,NA,NA,NA,NA,NA,,NA
PINBlock,Received,DataPrep,Col_40,Col_40,xml_CARD.CHIP.PINBLOCK,NA,NA,NA,NA,NA,NA,D4_2273_32,,NA
AdditionalField1,Received,Mail-MAILMERGE,Col_41,Col_41,NA,NA,NA,NA,NA,NA,Col_33,NA,,Pos_17_1
AdditionalField2,Received,Mail-MAILMERGE,Col_42,Col_42,NA,NA,NA,NA,NA,NA,Col_34,NA,,NA
RecipientPhoneNumber,Received,Mail-FEDEX,Col_42,Col_42,NA,NA,NA,NA,NA,NA,Col_34,NA,,NA
AdditionalField3,Received,Mail-MAILMERGE,Col_43,Col_43,NA,NA,NA,NA,NA,NA,Col_35,NA,,Pos_18_3
RecipientEmailAddress,Received,Mail-FEDEX,Col_43,Col_43,NA,NA,NA,NA,NA,NA,Col_35,NA,,NA
AdditionalField4,Received,Mail-MAILMERGE,Col_44,Col_44,NA,NA,NA,NA,NA,NA,Col_36,NA,,NA
AdditionalField5,Received,Mail-MAILMERGE,Col_45,Col_45,NA,NA,NA,NA,NA,NA,Col_37,NA,,NA
AdditionalField6,Received,Mail-MAILMERGE,Col_46,Col_46,NA,NA,NA,NA,NA,NA,Col_38,NA,,NA
AdditionalField7,Received,Mail-MAILMERGE,Col_47,Col_47,NA,NA,NA,NA,NA,NA,Col_39,NA,,NA
AdditionalField8,Received,Mail-MAILMERGE,Col_48,Col_48,NA,NA,NA,NA,NA,NA,Col_40,NA,,NA
FleetCardType,Received,DataPrep,NA,NA,NA,NA,NA,NA,NA,NA,Col_38,NA,,NA
FleetPrompt,Received,DataPrep,NA,NA,NA,NA,NA,NA,NA,NA,Col_39,NA,,NA
FleetPurchaseRestriction,Received,DataPrep,NA,NA,NA,NA,NA,NA,NA,NA,Col_40,NA,,NA
CardType,Received,TAGPL - otherwise not used,Col_49,NA,NA,NA,NA,NA,NA,NA,Col_41,NA,,NA
ProductID,Received,Grouping Identifying customer or product,Col_50,Col_50,xml_PRODUCT_REF,Pos_22_10,Pos_22_10,Pos_22_10,Pos_22_10,Pos_22_10,Col_42,H3_39_10,H2_13_10,Pos_21_3
Track1,Received,DataPrep,Col_51,Col_51,xml_CARD.TRACK1,NA,NA,NA,NA,NA,Col_43,D4_760_80,D4_609_78,pos_65_78
Track2,Received,DataPrep,Col_52,Col_52,xml_CARD.TRACK2,NA,NA,NA,NA,NA,Col_44,D4_840_40,D4_687_39,pos_143_39
Track3,Received,DataPrep,NA,NA,xml_CARD.TRACK3,NA,NA,NA,NA,NA,NA,NA,,NA
Track1DiscData,Received,TAGPL - otherwise not used,Col_53,NA,NA,NA,NA,NA,NA,NA,Col_45,D4_893_8,,NA
Track2Chip,Received,DataPrep,Col_54,Col_54,xml_CARD.CHIP.CHIP_TRACK_2,NA,NA,NA,NA,NA,Col_46,D4_2149_108,,pos_182_38
FirstNameT1,Received,DataPrep,NA,NA,NA,Pos_119_20,Pos_119_20,Pos_119_20,Pos_119_20,Pos_119_20,NA,H3_320_100,,NA
LastNameT1,Received,DataPrep,NA,NA,NA,Pos_139_20,Pos_139_20,Pos_139_20,Pos_139_20,Pos_139_20,NA,H3_420_100,,NA
ExpDate_YYMM,Received,DataPrep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D4_576_9,NA
EmbName2,Received,"Conf_Report,Ship_Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
CID,Received,DataPrep,NA,NA,NA,NA,Pos_459_11,NA,NA,NA,NA,NA,,NA
QRCode,Received,"MailMerge, DataPrep",NA,NA,xml_CARD.QRCODE,NA,NA,NA,NA,NA,NA,NA,,Pos_723_38
DateReceived,Received,Reporting,NA,NA,xml_FILEDATE,NA,NA,NA,NA,NA,NA,H1_6_8,H1_13_8,FH_4_8
SignatureRequired,Received,Mail-USPS-FEDEX-MAILMERGE,,,,,,,,,Col_47,H3_319_1,,NA
FromCompany,Received,Mail-USPS-FEDEX-MAILMERGE,Statically Defined in Configuration per Product,,,,,,,,Col_48,NA,,NA
FromFullName,Received,Mail-USPS-FEDEX-MAILMERGE,Statically Defined in Configuration per Product,,,,,,,,Col_49,NA,,NA
FromFirstName,Received,Mail-USPS-FEDEX-MAILMERGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2_709_100,NA
FromLastName,Received,Mail-USPS-FEDEX-MAILMERGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H2_809_100,NA
FromAddress1,Received,Mail-USPS-FEDEX-MAILMERGE,Statically Defined in Configuration per Product,,,,,,,,Col_50,H3_520_100,H2_909_100,Pos_606_40
FromAddress2,Received,Mail-USPS-FEDEX-MAILMERGE,Statically Defined in Configuration per Product,,,,,,,,Col_51,H3_620_100,H2_1009_100,Pos_646_40
FromCity,Received,Mail-USPS-FEDEX-MAILMERGE,Statically Defined in Configuration per Product,,,,,,,,Col_52,H3_720_100,H2_1109_50,Pos_686_20
FromState,Received,Mail-USPS-FEDEX-MAILMERGE,Statically Defined in Configuration per Product,,,,,,,,Col_53,H3_820_50,H2_1159_20,Pos_706_2
FromCountry,Received,Mail-USPS-FEDEX-MAILMERGE,Statically Defined in Configuration per Product,,,,,,,,Col_55,H3_895_50,H2_1188_50,Pos_718_3
FromZIPCode,Received,Mail-USPS-FEDEX-MAILMERGE,Statically Defined in Configuration per Product,,,,,,,,Col_54,H3_870_25,H2_1179_9,Pos_708_10
FileIndex,Received,Reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FH_12_3
RecordTotalInFile,Received,Reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FH_15_7
KDI,Received,Reporting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pos_721_2
#Barcode,Calculated,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA
#INTERNAL AND CALCULATED DATA FOR YOUR REFERENCE WHAT ADDITOINAL DATA FIELDS EXISTS,,,,,,,,,,,,NA,,NA
#ServiceType,Internal,Mail-USPS-FEDEX-MAILMERGE,Base on Shipping Method and Code or Statically defined per Product,Base on Shipping Method and Code or Statically defined per Product,,,,,,,Base on Shipping Method and Code or Statically defined per Product,NA,,NA
#PackageType,Internal,Mail-USPS-FEDEX-MAILMERGE,Base on Shipping Method and Code or Statically defined per Product,Base on Shipping Method and Code or Statically defined per Product,,,,,,,Base on Shipping Method and Code or Statically defined per Product,NA,,NA
#WeightOz,Internal,Mail-USPS-FEDEX-MAILMERGE,Base on Shipping Method and Code or Statically defined per Product,Base on Shipping Method and Code or Statically defined per Product,,,,,,,Base on Shipping Method and Code or Statically defined per Product,NA,,NA
#ShipDate,Internal,Mail-USPS-FEDEX-MAILMERGE,Base on Shipping Method and Code or Statically defined per Product,Base on Shipping Method and Code or Statically defined per Product,,,,,,,Base on Shipping Method and Code or Statically defined per Product,NA,,NA
#ImageType,Internal,Mail-USPS-FEDEX-MAILMERGE,Default value: Pdf,Default value: Pdf,,,,,,,Default value: Pdf,NA,,NA
#FEDEXAccountNumber,Internal,Mail-FEDEX,Empty or Statically defined,Empty or Statically defined,,,,,,,Empty or Statically defined,NA,,NA
